0000028492	32500
0000028888	38800
0000025827	55450
0000029309	41800
0000028207	19200
0000025263	45000
0000024527	76000
0000024527	9850
0000023886	127700
0000004443	74250
0000008879	57300
0000018364	110800
0000019855	110600
0000029549	75800
0000010437	59549
0000010437	5001
0000011380	106600
0000016123	51200
0000028416	20650
0000017006	106800
0000018566	43800
0000009721	116300
0000015813	60800
0000017710	105800
0000013475	54600
0000014276	43200
0000009231	37250
0000012122	107500
0000013933	52000
0000011376	88300
0000017728	52500
0000028806	38963
0000014051	54350
0000017932	51850
0000017383	49800
0000010969	39900
0000018479	42400
0000028553	32750
0000008894	64650
0000007814	32500
0000020555	50800
0000022349	159250
0000015380	52000
0000015819	52400
0000014044	52100
0000015559	24000
0000014795	50050
0000015989	70400
0000014045	51950
0000025903	52400
0000015893	69550
0000018033	73500
0000019057	64300
0000018377	51600
0000025488	52650
0000012582	40200
0000019619	5600
0000027494	37900
0000018528	63450
0000027462	38650
0000016316	55300
0000022894	47700
0000024479	25900
0000027219	12000
0000002804	23200
0000014149	42000
0000027617	15500
0000026756	72000
0000019244	509497
0000019244	37600
0000015107	62100
0000013532	61850
0000008221	48300
0000015687	33000
0000014083	36550
0000011079	42700
0000016351	66800
0000016023	88300
0000021153	39100
0000029300	46850
0000020086	25800
0000013359	51000
0000027061	55100
0000024888	59800
0000026661	40050
0000016010	35700
0000021709	49700
0000014580	21500
0000016310	43150
0000020686	56200
0000023017	42000
0000025381	134700
0000009696	12750
0000024129	38800
0000029692	32700
0000025043	65150
0000014171	38400
0000029912	20880
0000026857	33500
0000008954	61850
0000030192	26450
0000012790	45600
0000026150	5000
0000016435	53600
0000016323	43300
0000020576	55900
0000029209	11600
0000024074	56750
0000026661	5000
0000023458	43600
0000015541	68750
0000011406	86000
0000012601	37250
0000026538	68550
0000019093	49050
0000029112	24700
0000025122	37000
0000022749	59650
0000015029	90600
0000029622	21250
0000029725	49400
0000016073	27700
0000029891	32400
0000029346	36500
0000030209	41750
0000020973	78700
0000027187	27450
0000027142	18450
0000028232	101450
0000029756	63450
0000026515	28150
0000015434	45500
0000015445	49900
0000029908	32900
0000026433	54700
0000030095	32400
0000027608	42550
0000030076	44500
0000012032	30000
0000021138	81700
0000009800	76300
0000024133	27950
0000029790	69300
0000024530	28250
0000016996	126350
0000022022	95750
0000022022	3000
0000022633	45200
0000025041	29130
